# From-Node To-Node Length
1 2 7.9539
1 3 5.59087
1 4 7.8527
1 6 7.26445
2 3 2.69648
2 5 15.5868
2 6 7.46665
2 11 16.9517
2 15 14.8949
3 6 5.38742
4 6 7.61853
4 7 10.0324
4 8 20.3414
4 9 10.6562
4 10 9.62165
5 11 10.6477
5 12 13.5251
6 10 8.22374
6 15 11.0499
7 8 10.74
7 9 4.12967
8 9 13.102
8 13 14.0915
8 16 10.6809
8 19 8.27243
8 25 10.7039
9 10 7.32906
9 25 15.3457
9 30 9.83224
10 14 3.90863
10 15 8.66189
10 30 10.6537
11 12 7.80423
11 15 11.54
11 22 9.28419
11 33 10.0575
11 35 10.2649
12 26 7.73907
12 33 11.5011
12 36 10.7916
13 16 4.23027
13 18 1.31326
13 20 10.5349
13 27 9.82531
14 15 5.68471
14 23 2.76881
14 30 9.18006
15 22 3.72621
15 23 4.83015
16 18 3.88858
16 19 4.81259
16 29 7.27566
17 24 14.1983
17 28 12.527
17 41 18.2693
18 27 9.36334
18 29 9.11834
18 40 12.9459
19 25 3.80442
19 29 5.66676
20 21 1.3134
20 27 6.27795
21 27 6.69327
21 31 11.7867
21 34 15.4461
22 23 7.04493
22 35 7.11435
22 42 11.2364
23 30 8.76017
23 42 9.57013
24 32 9.6191
24 41 13.3183
25 29 4.06831
25 30 13.9149
25 37 6.76439
26 28 11.9903
26 36 5.97296
27 31 11.6383
27 38 7.49021
27 40 7.34181
28 36 14.2662
28 41 20.9141
28 45 12.5381
29 37 4.18133
29 40 13.4976
30 37 15.9543
30 42 9.72908
30 44 11.3759
30 47 13.3403
30 49 13.4082
31 34 3.91369
31 38 7.90905
32 41 9.99124
32 43 9.38833
33 35 1.0148
33 36 9.92097
33 39 2.23429
34 38 10.8904
34 51 15.3017
34 55 18.198
34 57 17.1145
35 39 2.53355
35 42 10.7333
36 39 9.17422
36 45 14.9708
36 53 14.9136
36 56 17.712
37 40 13.0897
37 47 14.4455
37 52 12.3549
38 40 5.73627
38 57 18.4713
38 58 14.6988
39 42 10.8844
39 44 12.1806
39 53 12.0477
40 52 19.3316
40 58 13.5188
41 43 8.6418
41 45 21.1859
41 46 7.98974
42 44 3.33541
43 46 7.98315
43 48 5.65898
43 70 18.4358
44 49 6.51056
44 53 10.2365
44 59 11.6148
45 46 20.6297
45 50 4.16088
45 56 12.2141
46 48 5.57888
46 50 19.4835
46 54 3.46809
47 49 2.56797
47 52 6.81674
47 60 8.91085
48 54 5.62245
48 70 12.871
49 59 8.08456
49 60 9.47505
50 54 19.3282
50 56 10.4586
50 64 10.1458
50 67 17.679
50 71 16.1705
51 55 2.89975
51 57 4.1961
52 58 16.8419
52 60 6.99083
52 62 14.4724
53 56 9.47059
53 59 8.94864
53 65 12.1307
54 67 9.04217
54 70 11.7603
55 57 4.41036
55 78 15.5956
56 61 4.10145
56 64 7.83815
56 65 7.21037
57 58 13.8953
57 68 14.8752
57 78 16.1613
58 62 3.96822
58 63 3.96454
58 68 5.43528
59 60 6.78132
59 65 10.2016
59 66 9.65719
60 62 16.0136
60 66 6.33647
60 69 9.68959
61 64 6.03952
61 65 3.61939
62 63 0.247001
62 69 14.4047
63 68 3.33308
63 69 14.4046
64 65 8.54908
64 71 13.5289
64 72 12.2888
64 74 10.9252
65 66 11.6
65 72 8.05239
66 69 4.04407
66 72 9.74346
67 70 8.69896
67 71 4.84332
67 75 9.06406
67 77 6.36039
68 69 14.5287
68 78 19.8822
68 82 14.0222
69 72 9.8131
69 82 10.3329
69 86 14.8778
70 75 4.02045
71 73 0.749089
71 74 4.17202
71 77 4.57753
72 74 17.4408
72 86 11.2469
73 74 3.72705
73 76 2.50656
73 77 4.06094
74 76 4.49332
74 81 8.28007
74 86 19.6544
74 94 17.8018
75 77 7.47619
75 81 8.85203
75 85 9.92934
76 77 1.85111
76 81 5.4539
77 81 4.63625
78 79 12.2208
78 80 7.39811
78 82 19.4965
79 80 5.20194
79 83 2.9597
79 84 2.66306
79 91 13.7316
79 92 15.6408
80 82 18.0891
80 84 5.94188
81 85 4.60198
81 89 8.44291
81 94 12.8555
82 84 19.2773
82 86 10.719
83 84 2.10298
83 91 11.2068
83 98 13.329
84 86 21.6945
84 98 14.7729
85 87 16.5146
85 89 4.55841
86 94 12.5102
86 97 16.362
87 88 10.7944
87 89 12.9563
87 95 8.53231
87 96 9.48842
87 97 9.70769
88 90 5.20489
88 93 5.04682
88 95 7.45129
89 94 6.72898
89 96 8.2976
90 92 11.8468
90 93 5.03009
90 99 6.70069
91 92 1.9745
91 98 5.57303
92 98 5.87914
92 99 6.05447
93 95 4.12391
93 99 4.66883
93 100 6.53362
94 96 5.26542
94 97 5.5469
95 97 11.2453
95 100 4.34031
96 97 0.757627
97 98 14.0981
97 100 11.1397
98 99 5.56663
98 100 3.91016
99 100 5.94991
