# X-Coord Y-Coord
91.1891 17.588
84.176 13.8356
85.8418 15.956
91.2963 25.44
70.6333 6.11904
84.9238 21.2647
90.7801 35.4592
94.5327 45.5223
86.6717 35.0404
82.3937 29.0895
67.3992 16.2636
59.8504 14.2833
92.4867 59.4644
78.4991 29.4213
74.6227 25.2632
90.8697 55.5554
32.2376 7.32082
91.1738 59.4321
88.6156 51.3033
94.3279 69.8372
94.3019 71.1503
70.919 24.8548
75.7817 29.9523
18.0516 7.91321
84.9488 50.2891
52.6148 17.029
88.2354 68.3224
40.6314 16.6197
83.7272 54.1697
77.4854 38.5452
86.2922 79.7973
11.978 15.3723
63.0477 25.331
85.0248 83.5001
63.8829 25.9075
53.4173 22.9478
79.5505 54.3652
82.3421 72.9453
61.6224 27.0516
80.9544 67.3794
20.1937 21.0581
68.1668 35.7489
12.3811 24.752
66.1107 38.3752
39.782 29.129
19.1529 28.9798
67.1417 46.9697
13.7206 30.2502
65.6628 44.8703
38.2201 32.9856
70.3775 87.9272
67.2091 53.7861
55.8997 37.6534
18.8997 32.4386
67.6502 88.9123
46.5704 39.2829
67.9402 84.5115
67.829 70.6166
57.7269 46.4135
60.3055 52.6854
45.7169 43.2946
64.7974 68.0561
64.6469 68.2519
39.6834 43.0253
47.5254 46.4298
54.6649 55.5724
22.3585 40.7931
62.3945 70.7088
53.2995 59.379
13.9762 43.1187
26.1752 43.7747
45.0353 54.0875
26.1724 44.5238
29.3278 46.5073
15.5767 46.8068
24.8366 46.6448
23.0465 47.1161
52.1004 87.7186
39.8799 87.8012
44.8478 86.2585
22.9195 51.7506
48.5394 68.5501
37.2389 86.4652
38.9849 85.293
20.3052 55.5379
39.0326 63.5986
14.0133 70.8069
10.8776 81.1359
21.1781 60.012
12.7221 86.003
26.1515 88.0967
24.2636 88.6751
15.8399 82.0558
26.532 64.0881
17.8245 78.4408
23.1024 68.0834
23.4963 68.7306
24.4242 82.7981
19.3641 85.1182
21.9583 79.7636
