# Subcatchment X-Coord Y-Coord
1 100 21.3945
1 89.2971 21.5406
1 87.8255 19.0328
1 90.3744 10.681
1 96.0894 0
1 100 0
2 81.2008 17.8872
2 77.8183 18.2277
2 76.0314 16.7338
2 75.5297 13.2679
2 83.0897 0
2 96.0894 0
2 90.3744 10.681
3 87.8255 19.0328
3 81.2008 17.8872
3 90.3744 10.681
4 100 30.9113
4 89.2247 30.3562
4 87.8385 29.6884
4 86.3453 26.0458
4 89.2971 21.5406
4 100 21.3945
5 75.5297 13.2679
5 65.0292 9.92022
5 57.5181 -0
5 83.0897 0
6 80.0648 24.015
6 77.8183 18.2277
6 81.2008 17.8872
6 87.8255 19.0328
6 89.2971 21.5406
6 86.3453 26.0458
7 100 37.7523
7 88.0154 42.2214
7 89.2247 30.3562
7 100 30.9113
8 100 53.2035
8 94.1781 51.078
8 88.3533 45.1162
8 87.2128 42.8233
8 88.0154 42.2214
8 100 37.7523
9 84.2516 42.4887
9 81.1913 34.4671
9 87.8385 29.6884
9 89.2247 30.3562
9 88.0154 42.2214
9 87.2128 42.8233
10 80.0096 24.1271
10 80.0648 24.015
10 86.3453 26.0458
10 87.8385 29.6884
10 81.1913 34.4671
10 80.8764 34.3037
11 66.8227 21.5164
11 66.4029 21.3633
11 62.5164 19.4982
11 65.0292 9.92022
11 75.5297 13.2679
11 76.0314 16.7338
11 73.4615 18.7965
12 62.5164 19.4982
12 59.1391 20.4757
12 57.6387 19.3617
12 50.2915 -0
12 57.5181 -0
12 65.0292 9.92022
13 100 63.4806
13 92.3356 64.841
13 91.7048 64.5383
13 91.8801 57.4264
13 100 54.0676
14 77.9797 33.9818
14 76.6636 27.2465
14 80.0096 24.1271
14 80.8764 34.3037
15 76.6636 27.2465
15 72.4137 28.297
15 73.4615 18.7965
15 76.0314 16.7338
15 77.8183 18.2277
15 80.0648 24.015
15 80.0096 24.1271
16 91.8801 57.4264
16 86.7226 57.831
16 87.3282 54.7093
16 94.1781 51.078
16 100 53.2035
16 100 54.0676
17 30.1524 17.641
17 25.3888 13.4645
17 24.8265 0
17 48.2266 0
17 47.1184 2.32612
18 85.2982 62.4208
18 91.7048 64.5383
18 91.8801 57.4264
18 86.7226 57.831
18 84.3451 61.1953
19 94.1781 51.078
19 87.3282 54.7093
19 86.2218 52.8224
19 88.3533 45.1162
20 100 70.6061
20 90.9466 70.4272
20 92.3356 64.841
20 100 63.4806
21 100 84.4617
21 89.1077 74.3721
21 90.9466 70.4272
21 100 70.6061
22 72.4137 28.297
22 70.1511 30.4555
22 68.0819 29.9327
22 66.8227 21.5164
22 73.4615 18.7965
23 72.4137 28.297
23 70.1511 30.4555
23 73.51 34.868
23 77.9797 33.9818
23 76.6636 27.2465
24 25.3888 13.4645
24 18.609 14.5694
24 0.716076 0
24 24.8265 0
25 84.2516 42.4887
25 77.8789 46.5386
25 81.5016 51.3365
25 86.2218 52.8224
25 88.3533 45.1162
25 87.2128 42.8233
26 57.6387 19.3617
26 46.4848 20.8739
26 47.1184 2.32612
26 48.2266 0
26 50.2915 -0
27 85.2982 62.4208
27 91.7048 64.5383
27 92.3356 64.841
27 90.9466 70.4272
27 89.1077 74.3721
27 88.0854 74.199
27 84.3839 69.4804
28 31.1554 22.2597
28 30.1524 17.641
28 47.1184 2.32612
28 46.4848 20.8739
28 45.3228 23.2217
29 86.7226 57.831
29 84.3451 61.1953
29 81.9395 60.6903
29 81.5016 51.3365
29 86.2218 52.8224
29 87.3282 54.7093
30 77.9797 33.9818
30 73.51 34.868
30 71.7648 40.6836
30 71.7447 42.0267
30 71.7952 42.121
30 75.632 46.8319
30 77.8789 46.5386
30 84.2516 42.4887
30 81.1913 34.4671
30 80.8764 34.3037
31 100 84.4617
31 100 86.5573
31 79.0727 79.3947
31 88.0854 74.199
31 89.1077 74.3721
32 18.609 14.5694
32 14.8882 19.9458
32 0 20.5856
32 0 0
32 0.716076 0
33 66.4029 21.3633
33 62.803 26.5789
33 58.509 23.022
33 59.1391 20.4757
