# Outlet Area[hectares] Width[m] Slope[%]
1 0.0191229 12.1745 3.70939
2 0.0211247 11.6172 4.17928
3 0.00291239 4.99314 4.66821
4 0.0113318 9.50416 4.80013
5 0.0209152 13.2679 4.88397
6 0.00616603 7.12829 6.86621
7 0.0105255 10.6948 6.20758
8 0.0120507 12.7872 6.4224
9 0.00672349 7.57519 11.4705
10 0.0049236 7.32871 10.2944
11 0.0101643 10.5035 10.3328
12 0.016822 10.2594 8.63491
13 0.00692103 8.26664 6.56565
14 0.00279205 3.59867 13.9036
15 0.00562917 7.13556 11.7738
16 0.0049928 4.98792 8.45535
17 0.0248542 16.6636 7.12317
18 0.00375752 6.80766 12.2226
19 0.0037269 7.20333 10.7603
20 0.00527175 7.01582 6.73785
21 0.00934818 10.1648 6.52531
22 0.00521942 6.30062 16.5378
23 0.00387915 6.85432 18.5941
24 0.022159 14.5694 6.24588
25 0.00673569 9.6878 16.0938
26 0.0144627 10.9649 11.2521
27 0.00611434 7.28996 12.697
28 0.0205775 14.3077 13.6917
29 0.00413895 5.66246 16.3542
30 0.0113231 11.5207 19.7296
31 0.0103342 8.00147 10.3396
32 0.0235587 16.4152 8.78191
33 0.00321762 6.25967 18.7493
34 0.0358331 18.541 9.49706
35 0.00297669 4.7246 20.5011
36 0.0111314 10.5945 20.1401
37 0.0108036 8.86038 20.9929
38 0.00901242 8.34422 19.4801
39 0.00598807 7.88538 21.7282
40 0.010599 10.3094 20.2145
41 0.0152265 12.2005 17.2912
42 0.00621098 7.05893 22.5718
43 0.013684 9.80803 16.7999
44 0.00544515 7.19667 20.7969
45 0.0134417 9.63559 19.6534
46 0.00711934 5.86298 20.3105
47 0.00633861 7.71282 20.1083
48 0.0125976 9.15616 17.9565
49 0.0040977 6.9973 17.5655
50 0.0112636 9.65971 16.6144
51 0.0149115 9.19279 18.1484
52 0.0107984 10.4508 18.2527
53 0.0108268 10.7387 15.6822
54 0.00669349 7.13937 17.7512
55 0.0152249 13.3728 17.4997
56 0.00790574 9.714 13.0012
57 0.0120765 9.19239 19.9623
58 0.0107633 9.95017 21.8005
59 0.00706538 8.44223 9.20166
60 0.00606165 7.68037 10.6176
61 0.00275255 5.61043 8.93527
62 0.00655137 8.27367 17.1828
63 0.00144478 1.96106 15.4572
64 0.00955719 9.2103 11.7247
65 0.00612259 7.68471 7.87778
66 0.00545417 6.84074 8.02635
67 0.00720205 7.65364 13.8018
68 0.0118303 10.8706 13.0448
69 0.00882626 7.90004 10.3661
70 0.0187969 13.2243 13.9377
71 0.00413222 4.89051 13.1309
72 0.0114411 10.5791 11.4943
73 0.000654218 2.42525 11.4903
74 0.00966671 8.73388 12.4486
75 0.0154775 8.23138 12.3348
76 0.00135072 3.11422 11.0752
77 0.00242859 5.19595 10.0464
78 0.0246883 12.8656 12.9612
79 0.0118633 12.5125 15.2721
80 0.0102436 6.98743 9.54895
81 0.00575324 5.80735 10.4362
82 0.0179558 14.519 7.38998
83 0.00742291 7.02905 11.589
84 0.0089158 9.5024 6.73838
85 0.00869376 7.03394 10.0955
86 0.0181353 13.4682 9.17757
87 0.0251991 14.8767 14.7394
88 0.0151598 13.9063 17.5972
89 0.00788137 6.63078 8.93206
90 0.0241462 16.6974 17.357
91 0.00921071 6.99641 14.656
92 0.0119115 12.6247 16.3484
93 0.00226191 4.90996 7.08796
94 0.009881 10.4029 6.06885
95 0.00418828 7.54273 6.73086
96 0.00326058 5.86124 6.31814
97 0.00776962 7.69341 2.55186
98 0.00678328 6.76758 5.48948
99 0.00416278 5.56309 5.40885
100 0.00492879 6.65824 1.73696
